TKID,ERWACHSENE_ABSATZ_1M,JUNIOREN_ABSATZ_1M,NICHT_ZUGEORDNET_ABSATZ_1M,REDUZIERT_1_2_ABSATZ_1M,VOLLPREIS_ABSATZ_1M,ERWACHSENE_ABSATZ_2M,JUNIOREN_ABSATZ_2M,NICHT_ZUGEORDNET_ABSATZ_2M,REDUZIERT_1_2_ABSATZ_2M,VOLLPREIS_ABSATZ_2M,ERWACHSENE_ABSATZ_3M,JUGEND_ABSATZ_3M,JUNIOREN_ABSATZ_3M,NICHT_ZUGEORDNET_ABSATZ_3M,REDUZIERT_1_2_ABSATZ_3M,VOLLPREIS_ABSATZ_3M,ERWACHSENE_ABSATZ_6M,JUGEND_ABSATZ_6M,JUNIOREN_ABSATZ_6M,NICHT_ZUGEORDNET_ABSATZ_6M,REDUZIERT_1_2_ABSATZ_6M,VOLLPREIS_ABSATZ_6M,ERWACHSENE_ABSATZ_9M,JUGEND_ABSATZ_9M,JUNIOREN_ABSATZ_9M,NICHT_ZUGEORDNET_ABSATZ_9M,REDUZIERT_1_2_ABSATZ_9M,VOLLPREIS_ABSATZ_9M,ERWACHSENE_ABSATZ_12M,JUGEND_ABSATZ_12M,JUNIOREN_ABSATZ_12M,NICHT_ZUGEORDNET_ABSATZ_12M,REDUZIERT_1_2_ABSATZ_12M,VOLLPREIS_ABSATZ_12M,MIN_DATE,MAX_DATE,ABSATZ_TOTAL,KUNDE_SEIT_TAGE,KUNDE_SEIT_MONATE
010cbce2-b562-4a13-80fa-71dfd5a37db7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2020-06-10,2020-06-10,1,204 days,7
12defa60-3c71-498c-ad81-6310cbb20e6d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2020-06-12,2020-06-30,2,202 days,7
158db902-dbf1-46c8-b2f3-228feb35c6aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2020-06-19,2020-06-19,2,195 days,7
465346dc-9efc-fe39-e053-b12a1cac73f5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2020-06-18,2020-06-18,1,196 days,7
465346e0-b243-fe39-e053-b12a1cac73f5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2020-06-20,2020-06-20,1,194 days,7
465346e2-b7c6-fe39-e053-b12a1cac73f5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2020-06-08,2020-06-08,1,206 days,7
465346e8-7ead-fe39-e053-b12a1cac73f5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2020-06-24,2020-06-24,1,190 days,7
465346ee-0185-fe39-e053-b12a1cac73f5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2020-06-08,2020-06-08,2,206 days,7
465346f1-c5cc-fe39-e053-b12a1cac73f5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2020-06-18,2020-06-18,1,196 days,7
465346f3-d600-fe39-e053-b12a1cac73f5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2020-06-27,2020-06-28,3,187 days,7
465346f6-7b56-fe39-e053-b12a1cac73f5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2020-06-24,2020-06-24,1,190 days,7
465346f8-41c6-fe39-e053-b12a1cac73f5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2020-06-09,2020-06-09,1,205 days,7
465346fa-9b22-fe39-e053-b12a1cac73f5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2020-06-02,2020-06-02,1,212 days,7
46534700-4466-fe39-e053-b12a1cac73f5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2020-06-16,2020-06-16,1,198 days,7
46534703-81e7-fe39-e053-b12a1cac73f5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2020-06-21,2020-06-21,1,193 days,7
46534706-8425-fe39-e053-b12a1cac73f5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2020-06-26,2020-06-26,1,188 days,7
4653470f-b7c2-fe39-e053-b12a1cac73f5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2020-06-08,2020-06-08,1,206 days,7
4d278284-4b56-41a7-81bc-67ef76e5f0b7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2020-06-23,2020-06-23,2,191 days,7
595eb182-43fd-4fa8-819f-3f56fd8cab35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2020-06-07,2020-06-07,1,207 days,7
822e8174-d332-4b37-8c0f-38b345eb3055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2020-06-19,2020-06-19,1,195 days,7
cbdf4c33-9e55-4c44-8b4b-16f2e1903591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2020-06-02,2020-06-02,1,212 days,7
e0fe875c-63b0-4f5d-b9a6-e6f4b22aeea9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2020-06-05,2020-06-05,2,209 days,7
ea17609d-0e00-411f-906f-ff35c2d1108e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2020-06-20,2020-06-20,1,194 days,7
